Array Design Name	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Comment[AdditionalFile:CDF]	HG-U133A.CDF
Comment[AdditionalFile:CDF]	HG-U133A.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-33
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	genbank	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-33_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[blocks]	Composite Element Database Entry[interpro]	Composite Element Database Entry[locus]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[swall]	Composite Element Database Entry[unigene]	Composite Element Database Entry[genbank]	Composite Element Database Entry[omim]	Composite Element Database Entry[pfam]	Composite Element Database Entry[refseq]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[kegg]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
AFFX-HUMGAPDH/M33197_5_at	M33197	AFFX-HUMGAPDH/M33197_5_at	IPB000173	IPR000173	2597	ENSG00000111640	P04406	Hs.169476	31645	138400	gpdh	NM_002046	d4gpd11	1.2.1.12	MAP00472			
AFFX-HUMGAPDH/M33197_M_at	M33197	AFFX-HUMGAPDH/M33197_M_at	IPB000173	IPR000173	2597	ENSG00000111640	P04406	Hs.169476	31645	138400	gpdh	NM_002046	d3gpdr2	1.2.1.12	MAP00010			
AFFX-HUMGAPDH/M33197_3_at	M33197	AFFX-HUMGAPDH/M33197_3_at	IPB000173	IPR000173	2597	ENSG00000111640	Q16768	Hs.169476	31645	138400	gpdh	NM_002046	d3gpdr2	1.4.1.16	MAP00472			
AFFX-HSAC07/X00351_5_at	X00351	AFFX-HSAC07/X00351_5_at	IPB004000	IPR004001	60	ENSG00000075624	Q96E67	Hs.288061	4501885	102630	actin	NM_001101	d2btfa1					
AFFX-HSAC07/X00351_M_at	X00351	AFFX-HSAC07/X00351_M_at	IPB004000	IPR004001	60	ENSG00000075624	Q96E67	Hs.288061	4501885	102630	actin	NM_001101	d2btfa1					
AFFX-HSAC07/X00351_3_at	X00351	AFFX-HSAC07/X00351_3_at	IPB004000	IPR004000	60	ENSG00000075624	Q96HG5	Hs.288061	4501885	102630	actin	NM_001101	d2btfa1					
AFFX-M27830_5_at	M27830	AFFX-M27830_5_at																
AFFX-M27830_M_at	M27830	AFFX-M27830_M_at																
AFFX-M27830_3_at	M27830	AFFX-M27830_3_at																
AFFX-hum_alu_at	U14573	AFFX-hum_alu_at																
AFFX-r2-Ec-bioB-5_at	J04423	AFFX-r2-Ec-bioB-5_at																
AFFX-r2-Ec-bioB-M_at	J04423	AFFX-r2-Ec-bioB-M_at																
AFFX-r2-Ec-bioB-3_at	J04423	AFFX-r2-Ec-bioB-3_at																
AFFX-r2-Ec-bioC-5_at	J04423	AFFX-r2-Ec-bioC-5_at																
AFFX-r2-Ec-bioC-3_at	J04423	AFFX-r2-Ec-bioC-3_at																
AFFX-r2-Ec-bioD-5_at	J04423	AFFX-r2-Ec-bioD-5_at																
AFFX-r2-Ec-bioD-3_at	J04423	AFFX-r2-Ec-bioD-3_at																
AFFX-r2-P1-cre-5_at	X03453	AFFX-r2-P1-cre-5_at																
AFFX-r2-P1-cre-3_at	X03453	AFFX-r2-P1-cre-3_at																
AFFX-r2-Bs-dap-5_at	L38424	AFFX-r2-Bs-dap-5_at																
AFFX-r2-Bs-dap-M_at	L38424	AFFX-r2-Bs-dap-M_at																
AFFX-r2-Bs-dap-3_at	L38424	AFFX-r2-Bs-dap-3_at																
AFFX-r2-Bs-lys-5_at	X17013	AFFX-r2-Bs-lys-5_at																
AFFX-r2-Bs-lys-M_at	X17013	AFFX-r2-Bs-lys-M_at																
AFFX-r2-Bs-lys-3_at	X17013	AFFX-r2-Bs-lys-3_at																
AFFX-r2-Bs-phe-5_at	M24537	AFFX-r2-Bs-phe-5_at																
AFFX-r2-Bs-phe-M_at	M24537	AFFX-r2-Bs-phe-M_at																
AFFX-r2-Bs-phe-3_at	M24537	AFFX-r2-Bs-phe-3_at																
AFFX-r2-Bs-thr-3_s_at	X04603	AFFX-r2-Bs-thr-3_s_at																
AFFX-r2-Bs-thr-M_s_at	X04603	AFFX-r2-Bs-thr-M_s_at																
AFFX-r2-Bs-thr-5_s_at	X04603	AFFX-r2-Bs-thr-5_s_at																
AFFX-r2-Hs18SrRNA-3_s_at	M10098	AFFX-r2-Hs18SrRNA-3_s_at																
AFFX-r2-Hs18SrRNA-M_x_at	M10098	AFFX-r2-Hs18SrRNA-M_x_at																
AFFX-r2-Hs18SrRNA-5_at	M10098	AFFX-r2-Hs18SrRNA-5_at																
AFFX-r2-Hs28SrRNA-3_at	M11167	AFFX-r2-Hs28SrRNA-3_at																
AFFX-r2-Hs28SrRNA-M_at	M11167	AFFX-r2-Hs28SrRNA-M_at																
AFFX-r2-Hs28SrRNA-5_at	M11167	AFFX-r2-Hs28SrRNA-5_at																
200000_s_at		rc_AA859532_at		IPR000555	10594		Q99PV0	Hs.181368	17999537		Mov34	NM_006445						
200001_at		rc_AI236570_s_at	IPB003474	IPR002048	826	ENSG00000126247	Q9D7J7	Hs.74451	18314496		efhand	NM_001749	d1df0a1					
200002_at		200002_at	IPB001854	IPR001854	11224	ENSG00000136942	O80626	Hs.182825	15012043		Ribosomal_L29	NM_007209						
200003_s_at		200003_s_at	IPB002672	IPR002672	6158		RL28_MOUSE	Hs.356371	13904866		Ribosomal_L28e	NM_000991						
200004_at		200004_at	IPB003890	IPR003891	1982	ENSG00000110321	P78344	Hs.183684	3218320		MA3	NM_001418	d1hu3a_					
200005_at		rc_AA819204_at	IPB001580		8664	ENSG00000100353	IF37_MOUSE	Hs.55682	20343895			NM_003753						
200006_at		1368653_a_at	IPB002818	IPR002818	11315	ENSG00000116288	O88767	Hs.10958	2460318		DJ-1_PfpI	NM_007262	d1g2ia_					
200007_at		M29264_f_at	PR00833	IPR003210	6727	ENSG00000140319	SR14_HUMAN	Hs.180394	1082198		SRP14	NM_003134	d1914__					
200008_s_at	D13988.1	rc_AI105149_at	IPB000172	IPR002005	2665	ENSG00000057608	Q9VLB7	Hs.56845	285975		GDI	NM_001494	d1d5ta1	5.4.99.9				
200009_at		1367460_at	IPB000172	IPR002005	2665	ENSG00000057608	Q8VHM3	Hs.56845	285975		GDI	NM_001494	d1d5ta1	5.4.99.9				
200010_at		200010_at	IPB002132	IPR002132	6135	ENSG00000142676	Q9Y674	Hs.388664	13385408		Ribosomal_L5	NM_000975	d1jj2d_					
200011_s_at		Msa.3060.0_s_at	PR00449	IPR005225	377	ENSG00000134287	Q9LIK1	Hs.119177	4502201		arf	NM_001659	d1rrga_					
200012_x_at		rc_AI231127_at	IPB001147	IPR001147	6144	ENSG00000162767	R21B_YEAST	Hs.350077	18104948		Ribosomal_L21e	NM_000982	d1jj2p_					
200013_at		w97389_at	IPB001380	IPR000988	6152	ENSG00000114391	Q9CS31	Hs.184582	20977585		Ribosomal_L24e	NM_000986						
200014_s_at		aa543665_f_at		IPR000504	3183	ENSG00000092199	Q96IY5	Hs.406125	20455507		rrm	NM_004500						
200015_s_at		D49382_s_at	IPB000765	IPR000038	4735	ENSG00000168385	AAH33559	Hs.155595	15680208		GTP_CDC	NM_004404	d1h65a_					
200016_x_at		1375612_at	IPB002989	IPR000504	3178	ENSG00000135486	Q91ZR9	Hs.376844	133254		rrm	NM_002136	d1ha1_1					
200017_at		rc_AI179381_at	PR01475	IPR002906	6233		R27A_DROME	Hs.311640	4506713		Ribosomal_S27	NM_002954	d1ubi__					
200018_at		rc_AI235358_at	IPB000589	IPR000589	6207	ENSG00000110700	Q9LZY6	Hs.165590	1350933		Ribosomal_S15	NM_001017	d1a32__					
200019_s_at		l33715_f_at	IPB000626	IPR000626	2197	ENSG00000149806	RS30_HUMAN	Hs.177415	1083824		ubiquitin	NM_001997	d1cmxb_					
200020_at		160377_at	IPB000258	IPR000504	23435	ENSG00000120948	Q13148	Hs.193989	20342390		rrm	NM_007375						
200021_at		1448346_at	IPB002108	IPR002108	1072	ENSG00000172757	COF1_HUMAN	Hs.180370	5031635		cofilin_ADF	NM_005507	d1ak7__					
200022_at		M20156_at	IPB000039	IPR000039	6141	ENSG00000063177	Q9CQF1	Hs.405036	18204442		Ribosomal_L18e	NM_000979	d1jj2n_					
200023_s_at		1427021_s_at	IPB002896	IPR003640	8665		IF35_MOUSE	Hs.7811	12728890		Mov34	NM_003754						
200024_at		170320_at	IPB000235	IPR005716	6193	ENSG00000083845	P46782	Hs.356019	13904870		Ribosomal_S7	NM_001009	d1rss__					
200025_s_at		rc_AI176589_g_at	IPB002784	IPR005824	6155	ENSG00000131469	RL27_ARATH	Hs.402678	4506623		KOW	NM_000988						
200026_at		1438655_a_at	IPB001284	IPR001284	6164		RL34_HUMAN	Hs.250895	16117787		Ribosomal_L34e	NM_000995.1						
200027_at		rc_AA956946_at		IPR004365	4677	ENSG00000134440	SYN_CAEEL	Hs.406437	20879071		tRNA-synt_2	NM_004539	d1b8aa2	6.1.1.22	MAP00970			
200028_s_at		200028_s_at		IPR002913	56910	ENSG00000084090	AAH14274	Hs.283722	22800656		START	NM_020151						
200029_at		161961_at	IPB000196	IPR000196	6143	ENSG00000108298	RL19_HUMAN	Hs.252723	4506609		Ribosomal_L19e	NM_000981	d1jj2o_					
200030_s_at		rc_AA892776_at	IPB001993	IPR001993	5250	ENSG00000075415	MPCP_MOUSE	Hs.78713	4505775		mito_carr	NM_002635						
200031_s_at		rc_AA851381_at	IPB000266	IPR000266	6205	ENSG00000142534	Q9V679	Hs.182740	13516490		Ribosomal_S17	NM_001015	d1rip__					
200032_s_at		164935_r_at	IPB002358	IPR002359	6133	ENSG00000169653	RL9B_YEAST	Hs.157850	14720157		Ribosomal_L6	NM_000661	d1rl6a1					
200033_at		X65627_f_at	IPB000330	IPR001650	1655	ENSG00000108654	O35662	Hs.76053	4758138		DEAD	NM_004396	d1hv8a1					
200034_s_at		Msa.2713.0_f_at	IPB000915	IPR005568	6128	ENSG00000089009	Q8WW97	Hs.349961	16753227		Ribosomal_L6e	NM_000970						
200035_at		200035_at		IPR004274	23399	ENSG00000169963	Q8VEL4	Hs.84359	22064567		NIF	NM_015343						
200036_s_at		1367580_at	IPB002143	IPR002143	4736	ENSG00000007869	Q9N4I4	Hs.334895	13592009		Ribosomal_L1	NM_007104	d1dwua_					
200037_s_at		1454305_at	IPB000953	IPR000953	11335	ENSG00000122565	CBX3_MOUSE	Hs.406384	15082258		Chromo_shadow	NM_007276	d1dz1a_					
200038_s_at		200038_s_at	IPB001063	IPR005721	6139	ENSG00000175333	P18621	Hs.82202	132805		Ribosomal_L22	NM_000985	d1jj2q_					
200039_s_at		200039_s_at	IPB000426	IPR001353	5690		PSB2_RAT	Hs.432607	4506195		proteasome	NM_002794	d1ryph_	3.4.25.1				
200040_at		1437389_x_at	IPB000958	IPR004088	10657	ENSG00000121774	Q99760	Hs.119537	12805185		KH	NM_006559	d1k1ga_					
200041_s_at		1447779_x_at	IPB000629	IPR001650	7919	ENSG00000123136	Q8VDW0	Hs.55296	4758112		DEAD	NM_004640	d1hv8a1					
200042_at		1420130_s_at	IPB001233	IPR001233	51493	ENSG00000100220	Q9P0J3	Hs.10729	12652799		UPF0027	NM_014306						
200043_at		1388328_at	IPB000781	IPR000781	2079	ENSG00000100632	ERH_BRARE	Hs.433413	18858333		ER	NM_004450						
200044_at		96834_at		IPR000504	8683	ENSG00000111786	Q13242	Hs.77608	13385016		rrm	NM_003769	d1urna_					
200045_at		rc_AI013494_at	IPB000795	IPR003439	23	ENSG00000137335	Q8NE71	Hs.9573	10947135		ABC_tran	NM_001090						
200046_at		167324_at	IPB003038	IPR003038	1603	ENSG00000129562	DAD1_HUMAN	Hs.82890	1905979		DAD	NM_001344						
200047_s_at		1457834_at	IPB001541	IPR000822	7528	ENSG00000100811	AAH37308	Hs.97496	4507955		zf-C2H2	NM_003403						
200048_s_at		AA261113_at			10899	ENSG00000143543	O76095	Hs.6396	11139303			NM_006694						
200049_at		rc_AA800202_at	IPB000822	IPR002717	11143	ENSG00000136504	O95251	Hs.21907	20345236		MOZ_SAS	NM_007067	d1fy7a_					
200050_at		200050_at	IPB001275	IPR000822	7705	ENSG00000167635	Q62512	Hs.301819	2501710		zf-C2H2	NM_007145						
200051_at		1448658_at		IPR005011	9092	ENSG00000175467	Q9R270	Hs.288319	10863889		SART-1	NM_005146						
200052_s_at		rc_AA859533_at	IPB001797	IPR006116	3608	ENSG00000143621	Q9BWD4	Hs.75117	1082855			NM_004515						
200053_at		c76581_rc_at	IPB000967	IPR001374	9552	ENSG00000091640	O75391	Hs.90436	15080361		R3H	NM_004890						
200054_at		U41287_s_at	PR00049	IPR004457	8882	ENSG00000109917	Q9JJA1	Hs.7165	4508021		ZPR1	NM_003904						
200055_at		rc_AI172595_at	PR01443	IPR003923	6881	ENSG00000166337	Q9QYY5	Hs.89657	2136293		TFIID_30kD	NM_006284						
200056_s_at		x95591_s_at			10438	ENSG00000115936	O35473	Hs.15164	2642586			NM_006333						
200057_s_at		93831_at	IPB000237		4841	ENSG00000147140	NR54_HUMAN	Hs.355861	1895081		rrm	NM_007363						
200058_s_at	BC001417.1	200058_s_at		IPR004179	23020		O75643	Hs.246112	22042312		DEAD	NM_014014	d1hv8a1					
200059_s_at	BC001360.1	rc_AA964181_at	IPB000251	IPR005225	387	ENSG00000067560	RHOC_HUMAN	Hs.77273	10835049		ras	NM_001664	d1tx4b_					
200060_s_at	BC001659.1	rc_AI011984_at	IPB000684	IPR000504	10921	ENSG00000167971	Q9NYG3	Hs.75104	3253165		rrm	NM_006711	d1h6kx_					
200061_s_at	BC000523.1	x60289_f_at	IPB001976	IPR001976	6229	ENSG00000138326	Q9DCA4	Hs.180450	12846587		Ribosomal_S24e	NM_001026						
200062_s_at	L05095.1	200062_s_at	IPB000955	IPR004038	6156	ENSG00000156482	RL30_YEAST	Hs.356255	20985239		Ribosomal_L7Ae	NM_000989	d1ck9a_					
200063_s_at	BC002398.1	M33212_s_at	IPB000547	IPR004301	4869	ENSG00000156427	NPM_RAT	Hs.355719	10835063		Nucleoplasmin	NM_002520	d1k5ja_					
200064_at	AF275719.1	200064_at	IPB000135	IPR003594	3326	ENSG00000096384	Q96HX7	Hs.74335	20149594		HATPase_c	NM_007355	d1byqa_					
200065_s_at	AF052179.1	rc_AI235811_i_at	PR00449	IPR005225	375	ENSG00000143761	Q9V499	Hs.74571	1703377		arf	NM_001658	d1rrga_					
200066_at	AF182645.1	1435988_x_at	IPB003134		3550	ENSG00000172496	RED_MOUSE	Hs.8024	10835234			NM_006083						
200067_x_at	AL078596	200067_x_at																
200068_s_at	M94859.1	rc_AA998523_f_at	IPB001990	IPR001580	821	ENSG00000127022	P27824	Hs.155560	10716563		calreticulin	NM_001746	d1jhna1					
200069_at	NM_014706.1	AA182291_s_at	IPB003107	IPR003107	9733	ENSG00000075856	Q96J95	Hs.116875	7661952		rrm	NM_014706	d2u2fa_					
200070_at	BC001393.1	200070_at			27013	ENSG00000115649	Q9UQN0	Hs.4973	20149623			NM_015680						
200071_at	BF224259	99162_at		IPR002999	10285	ENSG00000119953	O75940	Hs.79968	23598625	603519		NM_005871	d1g5va_					
200072_s_at	AF061832.1	136707_f_at	IPB002004	IPR000504	4670	ENSG00000099783	Q8WZ44	Hs.79024	14141154		rrm	NM_005968	d1hd1a_					
200073_s_at	M94630.1	94303_at	IPB000504	IPR000504	3184	ENSG00000138668	AAH26015	Hs.406404	14110420		rrm	NM_031369	d1hd1a_					
200074_s_at	U16738.1	1422128_at	IPB002101	IPR005824	9045	ENSG00000139239	RL14_RAT	Hs.406451	16753225		KOW	NM_003973						
200075_s_at	BC006249.1	U53514_s_at	PR00364	IPR000619	2987	ENSG00000143774	Q16774	Hs.3764	13938453		Guanylate_kin	NM_000858	d1gky__	2.7.4.8				
200076_s_at	BC006479.1	200076_s_at			79036	ENSG00000105700	Q9CZ10	Hs.108847	13129050			NM_024069						
200077_s_at	D87914.1	u52823_s_at	IPB002993	IPR002993	4946	ENSG00000104904	Q9UPL9	Hs.281960	1590808		ODC_AZ	NM_004152						
200078_s_at	BC005876.1	aa396633_s_at	PR00122	IPR002379	533	ENSG00000117410	VATO_HUMAN	Hs.7476	14318761		ATP-synt_C	NM_004047		3.6.3.14	MAP03070			
200079_s_at	AF285758.1	rc_AA799464_at	IPB002106	IPR004365	3735	ENSG00000065427	Q9LJT0	Hs.3100	5031815		tRNA-synt_2	NM_005548	d1e1oa2	6.1.1.6	MAP00970			
200080_s_at	BE869922	200080_s_at					Q9TW44											
200081_s_at	BE741754	1455981_at	IPB001377	IPR001377	6194	ENSG00000137154	P10660	Hs.380843	20381196	180460	Ribosomal_S6e	NM_001010						
200082_s_at	AI805587	rc_AI175486_at	IPB000554	IPR000554	6201	ENSG00000171863	P23821	Hs.301547	20985952	603658	Ribosomal_S7e	NM_001011						
200083_at	AA621731	Msa.6620.0_s_at		IPR001607	23326		UBPM_HUMAN	Hs.12064						3.1.2.15				
200084_at	BE748698	rc_AI175045_at			10944		Q9R0P4	Hs.78050	7657234			NM_014267						
200085_s_at	NM_007108.1	rc_AI639045_at	IPB000626	IPR000626	6923	ENSG00000103363	Q63529	Hs.172772	13385800		ubiquitin	NM_007108	d1vcba_					
200086_s_at	AA854966	1448322_a_at		IPR004203	1327	ENSG00000131143	P13073	Hs.433419	117085	123864	COX4	NM_001861		1.9.3.1	MAP00190			
200087_s_at	AK024976.1	aa538556_g_at	IPB000348	IPR000348	10959	ENSG00000086598	Q15363	Hs.75914	13929014		EMP24_GP25L	NM_006815						
200088_x_at	AK026491.1	200088_x_at	IPB000911	IPR000911	6136		RL12_MOUSE	Hs.405042	20824222		Ribosomal_L11	NM_000976	d1mmsa1					
200089_s_at	AI953886	1398749_at	IPB002136	IPR002136	6124	ENSG00000174444	RL4_MOUSE	Hs.286	16579885	180479	Ribosomal_L4	NM_000968	d1jj2c_					
200090_at	BG168896	M81225_at	IPB003861	IPR002088	2339		Q9UDC1	Hs.356463	21730715	134635	PPTA	NM_002027	d1jcqa_	2.5.1				
200091_s_at	AA888388	200091_s_at	IPB000524	IPR004977	6230	ENSG00000118181	RS25_HUMAN	Hs.191304	23633141	180465	Ribosomal_S25	NM_001028						
200092_s_at	BF216701	aa015377_f_at	IPB001569	IPR001569	6164	ENSG00000145592	R37B_DROME	Hs.250895	20826384		Ribosomal_L34e	NM_000995						
200093_s_at	N32864	U60001_at	IPB001310	IPR001310	3094		P49773	Hs.256697	10439439	601314	HIT	NM_005340	d1kpf__	3.6.1.29				
200094_s_at	AI004246	rc_AI178750_at	IPB000178	IPR005225	1938	ENSG00000167658	Q8TA90	Hs.75309	4503483	130610	GTP_EFTU_D2	NM_001961	d1dar_2					
200095_x_at	AA320764	200095_x_at					RS10_MOUSE	Hs.434090										
200096_s_at	AI862255	rc_AI013039_at			8992	ENSG00000113732	O15342	Hs.421241	13507387	603931		NM_003945		3.6.3.14	MAP03070			
200097_s_at	AI701949	Msa.4750.0_s_at	IPB002999	IPR004088	3190	ENSG00000165119	Q07244	Hs.129548	12230546		KH	NM_031262	d1khma_					
200098_s_at	T33068	rc_AI072254_at		IPR001440	51433	ENSG00000089053	Q9D190	Hs.7101	20127553	606948		NM_016237						
200099_s_at	AL356115	200099_s_at					RS3A_HUMAN											
1007_s_at	U48705	100155_at	IPB000959	IPR002011	780	ENSG00000137332	Q26296	Hs.75562	1362916		F5_F8_type_C	NM_013993	d1iepa_	2.7.1.37		DDR		
1053_at	M87338	rc_AA899195_at	IPB002894	IPR000862	5982	ENSG00000049541	Q9UHS7	Hs.139226	4506487	600404	AAA	NM_002914	d1iqpa1	3.4.21.53				
117_at	X51757	117_at	IPB003494	IPR001023	3310	ENSG00000173110	O88687	Hs.3268	23274232		HSP70	NM_002155	d1ckra_					
121_at	X69699	121_at	IPB001523	IPR001523	7849	ENSG00000125618	Q06710	Hs.73149	7524363	167415	PAX	NM_013952	d1k78a1					
1255_g_at	L36861	1255_g_at					GCA1_MOUSE											
1294_at	L13852	1294_at	IPB000011	IPR000594	7318		UBAL_HUMAN	Hs.16695	4507767	191325	ThiF	NM_003335						
1316_at	X55005	rc_AI103917_at	IPB002360	IPR001728	7067	ENSG00000126351	THA1_HUMAN	Hs.724	20127452	190120	zf-C4	NM_003250	d1ilga_					
1320_at	X79510	U17971_at	IPB000387	IPR000387	11099	ENSG00000070778	Q9QWQ7	Hs.155693	5902032	603271	Y_phosphatase	NM_007039	d1fpra_	3.1.3.48				
1405_i_at	M21121	u02298_s_at	IPB001089	IPR001811	6352	ENSG00000161570	SY04_HUMAN	Hs.241392	22538814	187011	IL8	NM_002985	d1b3aa_					
1431_at	J02843	m30844_s_at	IPB001128	IPR002401	1571	ENSG00000130649	Q9CVC8	Hs.75183	10834998		p450	NM_000773	d1dt6a_	5.3.99.5	MAP00380		Q05421	
1438_at	X75208	u11493_s_at	IPB001060	IPR003962	2049	ENSG00000171690	Q9H4H3	Hs.2913	1708164	601839	EPH_lbd	NM_004443	d1nuka_	4.6.1.2		HEK2		
1487_at	L38487	rc_AA955892_at	PR00350	IPR001723	2101		Q96I02	Hs.110849	18860920	601998	zf-C4	NM_004451	d1qkna_					
